Geneid,0,1,2,3,4,5,6,7,8,9
HKK26_RS00195,-0.010294522209901055,0.0032184649233877476,-0.002484314363024527,4.803456426096317e-06,-0.004940345819843785,-0.017919214095592356,0.011041874566728636,0.05523875006446152,-0.005085210853468139,0.0013981474004086255
HKK26_RS00200,-0.000639892363046275,0.000489333449291244,-0.019144173631718095,-0.01986537359737469,-0.010451544040026184,-0.04915536321743443,0.024106881553852738,0.033253982245951684,-0.0016193932470643972,0.014415706800347166
HKK26_RS00205,-0.007153348955967689,0.041507258237975166,-0.018362638193194482,0.0015100045207333157,-0.01004853023862519,-0.01911611491289576,0.02754376336961085,0.028131458731688194,-0.0012161613591534005,0.013166027380487458
HKK26_RS00210,-0.01366868243293688,0.02457905386112995,-0.007261118928374642,-0.008147938615729816,-0.010729453588491396,-0.016397908637003036,0.01889807750469618,0.024897393724177305,0.01098524918427412,0.010753575226712473
HKK26_RS00215,-0.016496413984635555,0.03462716307773563,-0.015006768386986337,0.012884839802363126,0.004171248557346685,-0.029188575099998233,0.004058517773436377,0.021486106805093868,0.010866740387145794,0.0024819840429169955
HKK26_RS00220,-0.0016086658078222783,0.014755971798885346,-0.009149320662574513,1.204155713381306e-05,-0.002876693218523228,-0.0692206060153974,0.0945544809183038,0.027248884712806416,0.009615923603106544,0.0003463540771376704
HKK26_RS00225,0.012907521186058635,0.014532983843032954,0.009935887924188926,-0.0025026515571748963,0.0025958939130013,-0.01572646604697813,-0.017743558954665718,0.02534390591982212,-0.005738935304966681,-0.004669381555547342
HKK26_RS00230,0.006905872353088004,0.003108213900610558,0.0014699135226451374,-0.0050686713637760365,0.0067693604265315266,-0.010508640263569543,-0.007881194485562187,0.02523954090983034,-0.0032980408429990477,0.004088671436364568
HKK26_RS00235,0.04175786428812086,0.020670283675316158,0.03060637551617489,0.011546480037089022,0.008893012961442426,-0.01730477565372878,-0.014093042904926429,0.04986734185793648,-0.013032666082751287,-0.008436487567913223
HKK26_RS00240,-0.03370504334743554,-0.0200849985286987,0.02533487630332565,-0.005358215790765742,0.04534045934625125,-0.07395034187996818,0.022253795500893875,0.03297726765169742,-0.01553137432287125,-0.035354262745635114
SYNPCC7942_RS00005,0.0013651407369776655,0.00874173644686646,-0.013734168399040157,-0.003628123400278756,0.006596233535001944,-0.0022601125376437215,-0.011498683121942774,0.0035524209564879628,0.008525655007256282,0.0036598224363171834
SYNPCC7942_RS00010,-0.01644834109510913,0.003887269998766106,-0.0036665038175274878,0.01192063507768755,0.0022631093272869004,0.007126495475540586,-0.012734407016977003,0.011529321210825836,0.001690531922288082,-0.028026062242893533
SYNPCC7942_RS00015,-0.014221083002434139,-0.0015064745862497526,0.0012494783955353732,-0.003185810555375132,-0.008513436949109417,-0.012910561780583132,-0.007863432493555806,-0.0018199411190019752,0.008881430820636338,0.0003799855135149445
SYNPCC7942_RS00020,-0.02155818781658101,0.0036256274791078365,-0.004624063438778605,-0.005176753753913098,-0.04928721863863124,-0.010099743605855638,-0.01618923580368064,0.014982717229291368,-0.017205063972110232,-0.00512440722117474
SYNPCC7942_RS00025,-0.02197181575910747,0.007898872758673842,-0.03407695936348389,-0.00552795339885281,0.03456032917390703,-0.0011958996409832897,0.04423655184730748,-0.002866963237558723,-0.02128306584289928,0.04291367763306685
