	mRNA-sense	mRNA-antisense	rRNA-sense	rRNA-antisense	tRNA-sense	tRNA-antisense	ncRNA-sense	ncRNA-antisense	unannotated	total-reads	unaligned	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX4105509	796239.0	42124.0	2344584.0	795484.0	0.0	0.0	0.0	0.0	251423.0	10780922.0	6551068.0	SRX4105509_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10780922.0	0.0	20-50	54.0	6.998799396595827	49.40488614981168	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	10788879	3295892	10788879	539443950	1866693	532699323	1.2502924539240825	0.0334	0.9642	0.0024		
SRX4105510	958194.0	216.0	3957208.0	1148867.0	0.0	0.0	0.0	0.0	255548.0	16259600.0	9939567.0	SRX4105510_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16259600.0	0.0	20-50	54.0	4.9127956096252285	49.400382973750894	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	16270034	4929051	16270034	813501700	2850437	803341154	1.2489889080748078	0.0294	0.9686	0.002		
SRX4105511	1347643.0	110835.0	329314.0	27443.0	0.0	0.0	0.0	0.0	933740.0	3259774.0	510799.0	SRX4105511_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3259774.0	0.0	20-75	54.0	23.20305907950773	73.18243473320543	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	3268961	340002	3268961	242840345	788703	241250105	0.6548500003160513	0.0696	0.9214	0.009000000000000001		
SRX4105512	2446061.0	156900.0	426457.0	38769.0	0.0	0.0	0.0	0.0	815336.0	4482753.0	599230.0	SRX4105512_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4482753.0	0.0	20-75	56.0	28.00661598132871	72.97845274990614	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	4494136	387871	4494136	333181978	1604993	330877155	0.6917610051525657	0.0608	0.9317	0.0075		
SRX4105513	769496.0	39848.0	748595.0	118199.0	0.0	0.0	0.0	0.0	276260.0	4075617.0	2123219.0	SRX4105513_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4075617.0	0.0	20-75	55.0	16.92613621342588	73.15609783745626	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	4078338	459582	4078338	302549057	388745	301495272	0.3483021928572727	0.0499	0.9454	0.0047		
SRX4105514	1747833.0	110184.0	981618.0	109069.0	0.0	0.0	0.0	0.0	691764.0	5145687.0	1505219.0	SRX4105514_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5145687.0	0.0	20-75	55.0	21.15445747642835	73.0886686267548	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	5148588	485820	5148588	381425833	471030	380275804	0.3015078949830857	0.0567	0.9364	0.006999999999999999		
SRX4105515	147621.0	11443.0	747905.0	169978.0	0.0	0.0	0.0	0.0	56775.0	3472019.0	2338297.0	SRX4105515_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3472019.0	0.0	20-75	55.0	11.982745943839399	73.08608391831956	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	3473283	397753	3473283	257347134	241703	256574318	0.30030099344335426	0.0661	0.925	0.0089		
SRX4105516	1238664.0	85145.0	955367.0	112396.0	0.0	0.0	0.0	0.0	422136.0	4798203.0	1984495.0	SRX4105516_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4798203.0	0.0	20-75	55.0	18.928115012944392	73.3877732976283	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	4800151	488481	4800151	357077910	359046	356056297	0.2861036685243285	0.0577	0.9348	0.0075		
SRX4105517	299699.0	33452.0	1096612.0	1761225.0	0.0	0.0	0.0	0.0	133135.0	18311303.0	14987180.0	SRX4105517_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18311303.0	0.0	20-50	54.0	5.4599365648391665	48.91129271357696	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	18332347	6077415	18332347	916617350	10231207	895799386	2.27117280727885	0.0724	0.9229	0.0047		
SRX4105518	469842.0	47159.0	2715001.0	936207.0	0.0	0.0	0.0	0.0	515274.0	14559724.0	9876241.0	SRX4105518_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14559724.0	0.0	20-50	53.0	2.2611009612666	49.54314106503667	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	15136095	5127891	15136095	756804750	808219	721405237	4.677496144150787	0.0702	0.9259999999999999	0.0039		
SRX4105519	100406.0	7250.0	415085.0	143133.0	0.0	0.0	0.0	0.0	50189.0	2353976.0	1637913.0	SRX4105519_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2353976.0	0.0	20-50	54.0	3.317493466373489	49.52130055701503	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2411178	780667	2411178	120558900	164143	116602720	3.281532927058889	0.0721	0.9211	0.0067		
SRX4105520	159225.0	98.0	681255.0	1362509.0	0.0	0.0	0.0	0.0	68220.0	13620440.0	11349133.0	SRX4105520_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13620440.0	0.0	20-50	54.0	5.421381642839357	48.97049955801722	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	13630567	4475491	13630567	681528350	7562828	667130905	2.1125232721426777	0.0479	0.9465	0.0057		
SRX4105521	75494.0	45.0	437223.0	964906.0	0.0	0.0	0.0	0.0	30209.0	9670967.0	8163090.0	SRX4105521_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9670967.0	0.0	20-50	54.0	5.775074025274592	48.90919863546221	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	9680868	3263730	9680868	484043400	5615017	473103413	2.2601252284402595	0.0729	0.9257	0.0014		
SRX4105522	814882.0	45722.0	1897799.0	1491128.0	0.0	0.0	0.0	0.0	316871.0	17825907.0	13259505.0	SRX4105522_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17825907.0	0.0	20-50	54.0	7.011248386616216	48.983158388518454	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	17852537	5726644	17852537	892626850	9741833	873322909	2.1625991868830745	0.0599	0.9372	0.003		
SRX4105523	113438.0	97.0	584652.0	1112725.0	0.0	0.0	0.0	0.0	56670.0	11029356.0	9161774.0	SRX4105523_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11029356.0	0.0	20-50	54.0	5.903034343807505	48.96810384939973	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	11049972	3596555	11049972	552498600	6232871	540197484	2.226451976529895	0.0745	0.9246	0.0009		
SRX4105524	75441.0	50.0	376552.0	1393242.0	0.0	0.0	0.0	0.0	37714.0	13276464.0	11393465.0	SRX4105524_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13276464.0	0.0	20-50	54.0	4.3328005547631685	48.97365036353053	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	13300347	4357458	13300347	665017350	7438296	650323788	2.209500549121012	0.0759	0.9209	0.0032		
SRX4105525	2084387.0	191690.0	2264559.0	283070.0	0.0	0.0	0.0	0.0	4625407.0	12280213.0	2831100.0	SRX4105525_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12280213.0	0.0	20-50	52.0	9.370652886926553	49.427890542289454	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	12315401	4111795	12315401	615770050	1218992	607015717	1.4216886644616769	0.0775	0.9177	0.0048		
SRX4105526	9778587.0	692152.0	3254085.0	513803.0	0.0	0.0	0.0	0.0	2916558.0	21743377.0	4588192.0	SRX4105526_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21743377.0	0.0	20-50	55.0	14.907658487739045	49.439199531885045	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	21900022	6719335	21900022	1095001100	2333639	1075032321	1.8236309534300923	0.0635	0.9326	0.004		
SRX4105527	7104906.0	305244.0	5284198.0	301954.0	0.0	0.0	0.0	0.0	2116892.0	17804954.0	2691760.0	SRX4105527_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17804954.0	0.0	20-50	55.0	12.620054140083234	49.46791449166338	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	17827079	5272409	17827079	891353950	1869677	880821484	1.1816255484142972	0.0435	0.9533	0.0032		
SRX4105528	7229495.0	404520.0	3208725.0	401091.0	0.0	0.0	0.0	0.0	2142128.0	17323537.0	3937578.0	SRX4105528_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17323537.0	0.0	20-50	55.0	13.943764136085406	49.452463720313006	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	17358360	5276238	17358360	867918000	1983878	856742758	1.2875919153652764	0.0439	0.9523	0.0037		
SRX4105529	10574776.0	533725.0	2815868.0	351983.0	0.0	0.0	0.0	0.0	3172234.0	20868876.0	3420290.0	SRX4105529_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20868876.0	0.0	20-50	55.0	12.935010912405332	49.46296882496211	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	20916749	6365035	20916749	1045837450	2207312	1032290084	1.295360574437261	0.0488	0.9472	0.004		
SRX4105530	13863135.0	887828.0	2417310.0	219755.0	0.0	0.0	0.0	0.0	4620814.0	24433720.0	2424878.0	SRX4105530_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24433720.0	0.0	20-50	55.0	7.6588169113311695	49.445084702615894	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	24558709	7540347	24558709	1227935450	2636810	1208200763	1.6071436816976006	0.0561	0.9399	0.004		
SRX4105531	43695.0	7280.0	167147.0	486907.0	0.0	0.0	0.0	0.0	21834.0	5192752.0	4465889.0	SRX4105531_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5192752.0	0.0	20-50	54.0	3.056715870073492	49.51830590022401	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	5339157	1796576	5339157	266957850	419672	257177202	3.663742422258795	0.0877	0.91	0.0023		
SRX4105532	25723.0	4290.0	98421.0	286706.0	0.0	0.0	0.0	0.0	12857.0	3052717.0	2624720.0	SRX4105532_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3052717.0	0.0	20-50	54.0	4.452139120541445	49.52137751386716	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	3156162	1070630	3156162	157808100	159814	151199821	4.187541070452023	0.068	0.9277	0.0043		
