	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX2769884	39886166.0	9589824.0	27522699.0	242115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1786337.0	731842.0	13349.0	24.04298272238049	39886166.0	39644051.0	99.39	242115.0	0.61	SRX2769884_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39886166.0	0.0	20-36	55.0	6.2900640588997545	35.476206261589546	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	40063220	10568815	40063220	1442275920	10737027	1416950615	1.7559264942868906	0.2452	0.3576	0.3972		
SRX2769885	41100863.0	8173311.0	30616331.0	246816.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1460524.0	592476.0	11405.0	19.88598390257645	41100863.0	40854047.0	99.4	246816.0	0.6	SRX2769885_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41100863.0	0.0	20-36	55.0	5.956610148601374	35.46192064142303	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	41307075	10642269	41307075	1487054700	12741592	1459745419	1.8364678178953335	0.2948	0.2574	0.4477		
SRX2769886	39325012.0	11641477.0	24317644.0	325977.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2210067.0	815249.0	14598.0	29.603238264746107	39325012.0	38999035.0	99.17	325977.0	0.83	SRX2769886_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39325012.0	0.0	20-36	55.0	8.529383996360252	35.12705275207545	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	40130086	10638194	40130086	1444683096	38099379	1391691682	3.6680303207479352	0.2937	0.2947	0.4116		
SRX2769887	37234605.0	7356145.0	24603455.0	426155.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3813167.0	1022798.0	12885.0	19.756205282693344	37234605.0	36808450.0	98.86	426155.0	1.14	SRX2769887_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37234605.0	0.0	20-36	55.0	8.964112274261108	35.22966901354265	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	37885794	10046709	37885794	1363888584	30591994	1319061462	3.2867143640524823	0.3461	0.3114	0.3424		
SRX2769888	39071230.0	6214534.0	30113355.0	350972.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1810798.0	570261.0	11310.0	15.90565231757485	39071230.0	38720258.0	99.1	350972.0	0.9	SRX2769888_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39071230.0	0.0	20-36	55.0	6.361272634392991	35.16469054084041	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	39815445	10198837	39815445	1433356020	35831754	1383465579	3.4806733500864637	0.2792	0.3073	0.4135		
SRX2769889	38748443.0	5997273.0	30468995.0	496396.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1316914.0	459279.0	9586.0	15.477455442532234	38748443.0	38252047.0	98.72	496396.0	1.28	SRX2769889_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38748443.0	0.0	20-36	55.0	6.257511043242861	35.25148530484179	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	39348609	10044487	39348609	1416549924	29186673	1373665995	3.0273503442014937	0.2234	0.2928	0.4838		
SRX2769890	38717385.0	7951138.0	27453831.0	484420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2072042.0	745302.0	10652.0	20.536350789186823	38717385.0	38232965.0	98.75	484420.0	1.25	SRX2769890_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38717385.0	0.0	20-36	55.0	7.176623505621038	35.096771747368784	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	39560510	10353749	39560510	1424178360	40125939	1369769352	3.8203787901959134	0.2549	0.3104	0.4347		
SRX2769891	38857158.0	8645109.0	27233772.0	484807.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1788882.0	690133.0	14455.0	22.248433609066314	38857158.0	38372351.0	98.75	484807.0	1.25	SRX2769891_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38857158.0	0.0	20-36	55.0	8.215575962119011	35.17071240773708	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	39560288	10297591	39560288	1424170368	34191900	1375735377	3.4009267492356643	0.299	0.2546	0.4464		
SRX2769892	26831974.0	4682773.0	20067982.0	475246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1197551.0	401532.0	6890.0	17.452212051189374	26831974.0	26356728.0	98.23	475246.0	1.77	SRX2769892_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26831974.0	0.0	20-36	54.0	13.529153022895796	34.568292366413296	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	27225158	7218291	27225158	980105688	37267952	932848987	4.821592362802408	0.2872	0.2831	0.4297		
SRX3159653	14902248.0	8600987.0	805803.0	1379888.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3353537.0	750752.0	11281.0	57.71603720458818	14902248.0	13522360.0	90.74	1379888.0	9.26	SRX3159653_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14902248.0	0.0	20-50	54.0	11.927025706908646	49.327996420405825	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	14911780	4631709	14911780	745589000	2030234	735130269	1.4027474922510927	0.2955	0.3276	0.377		
