,0
SYNPCC7942_RS00870,Synpcc7942_0171
SYNPCC7942_RS00875,Synpcc7942_0172
SYNPCC7942_RS00880,Synpcc7942_0173
SYNPCC7942_RS00885,Synpcc7942_0174
SYNPCC7942_RS00890,Synpcc7942_0175
SYNPCC7942_RS13665,Synpcc7942_0176
SYNPCC7942_RS00900,Synpcc7942_0177
SYNPCC7942_RS00905,Synpcc7942_0178
SYNPCC7942_RS00910,Synpcc7942_0179
SYNPCC7942_RS00915,Synpcc7942_0180
SYNPCC7942_RS00920,Synpcc7942_0181
SYNPCC7942_RS00925,Synpcc7942_0182
SYNPCC7942_RS00930,Synpcc7942_0183
SYNPCC7942_RS00935,Synpcc7942_0184
SYNPCC7942_RS00940,Synpcc7942_0185
SYNPCC7942_RS00945,Synpcc7942_0186
SYNPCC7942_RS00950,Synpcc7942_0187
SYNPCC7942_RS00955,Synpcc7942_0188
SYNPCC7942_RS00960,Synpcc7942_0189
SYNPCC7942_RS00965,Synpcc7942_0190
SYNPCC7942_RS00970,Synpcc7942_0191
SYNPCC7942_RS00975,Synpcc7942_0192
SYNPCC7942_RS00980,Synpcc7942_0193
SYNPCC7942_RS00985,Synpcc7942_0194
SYNPCC7942_RS00990,Synpcc7942_0195
SYNPCC7942_RS00995,Synpcc7942_0196
SYNPCC7942_RS01000,Synpcc7942_0197
SYNPCC7942_RS01005,Synpcc7942_0198
SYNPCC7942_RS01010,Synpcc7942_0199
SYNPCC7942_RS01015,Synpcc7942_0200
SYNPCC7942_RS01020,Synpcc7942_0201
SYNPCC7942_RS01025,Synpcc7942_0202
SYNPCC7942_RS01030,Synpcc7942_0203
SYNPCC7942_RS01035,Synpcc7942_0204
SYNPCC7942_RS01040,Synpcc7942_0205
SYNPCC7942_RS01045,Synpcc7942_0206
SYNPCC7942_RS01055,Synpcc7942_0208
SYNPCC7942_RS01060,Synpcc7942_0209
SYNPCC7942_RS01065,Synpcc7942_0210
SYNPCC7942_RS01070,Synpcc7942_0211
SYNPCC7942_RS01075,Synpcc7942_0212
SYNPCC7942_RS01080,Synpcc7942_0213
SYNPCC7942_RS01085,Synpcc7942_0214
SYNPCC7942_RS01090,Synpcc7942_0215
SYNPCC7942_RS01095,Synpcc7942_0216
SYNPCC7942_RS01100,Synpcc7942_0217
SYNPCC7942_RS01110,Synpcc7942_0218
SYNPCC7942_RS01115,Synpcc7942_0219
SYNPCC7942_RS01120,Synpcc7942_0220
SYNPCC7942_RS01125,Synpcc7942_0221
SYNPCC7942_RS01130,Synpcc7942_0222
SYNPCC7942_RS01135,Synpcc7942_0223
SYNPCC7942_RS01140,Synpcc7942_0224
SYNPCC7942_RS01145,Synpcc7942_0225
SYNPCC7942_RS01150,Synpcc7942_0226
SYNPCC7942_RS01155,Synpcc7942_0227
SYNPCC7942_RS01160,Synpcc7942_0228
SYNPCC7942_RS01165,Synpcc7942_0229
SYNPCC7942_RS01170,Synpcc7942_0230
SYNPCC7942_RS01175,Synpcc7942_0231
SYNPCC7942_RS01180,Synpcc7942_0232
SYNPCC7942_RS01185,Synpcc7942_0233
SYNPCC7942_RS01190,Synpcc7942_0234
SYNPCC7942_RS01195,Synpcc7942_0235
SYNPCC7942_RS01200,Synpcc7942_0236
SYNPCC7942_RS01205,Synpcc7942_0237
SYNPCC7942_RS01210,Synpcc7942_0238
SYNPCC7942_RS01215,Synpcc7942_0239
SYNPCC7942_RS01220,Synpcc7942_0240
SYNPCC7942_RS01225,Synpcc7942_0241
SYNPCC7942_RS01235,Synpcc7942_0242
SYNPCC7942_RS01240,Synpcc7942_0243
