Geneid,0,1,2,3,4
SYNPCC7942_RS00260,-0.004112014942853667,0.01311587695445595,-0.008267497808796327,-0.0028950883041470245,-0.026896879780542907
SYNPCC7942_RS00265,0.006493490676387793,-0.002325920175974341,0.00631972661321594,-0.009099800192485389,-0.02855523201544435
SYNPCC7942_RS00270,0.01992634616084081,0.009741856356288934,0.00015247791257710474,-0.00040275424026460337,-0.011037880699086615
SYNPCC7942_RS00275,0.01188604106327454,0.025591061170111656,0.0021043410928731875,0.00015606703172067846,-0.010817854880682036
SYNPCC7942_RS00280,0.013462744249733602,0.015219377929076232,-0.0015144028416801446,-0.01844378586709363,0.0012685770448349072
SYNPCC7942_RS00285,0.01536560563108688,0.01895672938728403,-0.0007883399435684046,-0.017401593361506994,0.008257753293781186
SYNPCC7942_RS00290,0.01060330477389183,0.028494475440965714,-0.0026332505721335803,-0.013621527807465495,0.0014525923247864238
SYNPCC7942_RS00295,0.0005718549545746924,0.04575601582644702,-0.00823272159026296,-0.01592804294719432,-0.013281283770842615
SYNPCC7942_RS00300,0.0128468260211375,0.029677793916568634,-0.004505821359159042,-0.0072362956871177145,-0.008329171226637504
SYNPCC7942_RS00305,0.01109194026058597,0.025018616927467128,0.0012565693598503166,-0.01596594794960159,0.005866131012269642
SYNPCC7942_RS00310,-0.0030298272637054352,0.031130927367494322,0.005374652939898722,-0.017831206312048903,-0.0027071688028127926
SYNPCC7942_RS00315,0.011727749959971166,0.015419897520710974,-0.015469653937948222,-0.05599343526999985,-0.006597892445886476
SYNPCC7942_RS13650,0.029028481474715123,-0.03272587015039816,0.010794495958005882,-0.04946451218129758,0.015067822891111311
SYNPCC7942_RS00320,-0.013637238113865009,0.009938621366792634,-0.0022113804580881115,-0.00790863180242913,-0.016623496448011987
SYNPCC7942_RS00325,0.003811147878490385,-0.011618291922790824,-0.009578515253040841,-0.023227357494720068,0.01428750988679872
SYNPCC7942_RS00330,-0.0007351307175297742,-0.010750872863182397,-0.00352795606743055,-0.012192616940958825,0.018340553105449475
SYNPCC7942_RS00335,0.015597039816577394,-0.00931247851547836,-0.015136404964731233,-0.007238265274301987,0.003187016636767673
SYNPCC7942_RS00340,0.00921349151458762,0.05285128322765433,0.06019759831383778,0.04059639015043228,0.023606470292884228
SYNPCC7942_RS00345,-0.0043593022956545735,-0.0025638075315513047,0.0005935350005672001,-0.02928375356314287,0.02590738843116566
SYNPCC7942_RS00350,-0.021160612971056026,-0.016440573463695398,-0.00042367953019190546,0.006929765359573253,0.02133992480353746
SYNPCC7942_RS00355,-0.006567106398599625,-0.01911448215032959,-0.008921638905821053,-0.0010037016939607067,0.012375220300792258
SYNPCC7942_RS00360,-0.0009777915754526968,-0.011137846451407947,-0.007115406965462086,0.009343205061636505,-0.0021645137360449384
SYNPCC7942_RS00365,-0.001167409410357035,-0.005633547478657968,0.007762638812598081,0.0008138765818183337,0.01609799656391677
SYNPCC7942_RS00370,-0.008913819395838254,-0.008511939119765229,-0.011953767538969715,0.004496613244953627,-0.00986845650587878
SYNPCC7942_RS00375,0.0026269485115916445,-0.014403256415223654,-0.010222356627631388,-0.0031318833082352804,-0.0062630626381635955
SYNPCC7942_RS00380,0.000434418268048927,-0.008190131227061852,-0.010415321731040953,-0.02318575765301156,-0.009861308618796728
SYNPCC7942_RS00385,-0.01302094991606814,-0.0021367043175219967,0.005561810080228043,0.006733578312450316,0.023291494971666507
